ID;Магазин;Город;Адрес;Проект;Маршрутов сегодня;Маршрутов за месяц;Свои ТС;Частники;В срок %;Статус
M101;Х5 Retail · Москва;Москва;Волгоградский пр., 62;Х5 Retail;18;385;6;4;96;pause
M102;Магнит · Химки;Химки;ул. Ленина, 72;Магнит;12;271;4;7;91;active
M103;Озон · Мытищи;Мытищи;пр. Мира, 83;Озон;13;265;6;5;95;active
M104;Магнит · Балашиха;Балашиха;Ленинградское ш., 52;Магнит;10;285;9;5;99;active
M105;Лемана Про · Люберцы;Люберцы;Волгоградский пр., 85;Лемана Про;34;889;3;5;95;active
M106;ВкусВилл · Одинцово;Одинцово;ш. Энтузиастов, 114;ВкусВилл;11;310;3;3;96;active
M107;Озон · Красногорск;Красногорск;Волгоградский пр., 57;Озон;32;798;8;6;90;active
M108;Озон · Подольск;Подольск;ул. Ленина, 14;Озон;8;224;2;6;93;active
M109;Озон · Реутов;Реутов;ш. Энтузиастов, 130;Озон;11;295;2;6;95;active
M110;Самокат · Домодедово;Домодедово;МКАД, 77;Самокат;11;269;2;7;95;pause
M111;Озон · Котельники;Котельники;ул. Ленина, 16;Озон;26;706;4;7;88;active
M112;Магнит · Видное;Видное;ул. Гагарина, 30;Магнит;10;284;9;1;90;active
